V5001,V5002,V5003,case_number,V5005,V5006,V5007,V5008,V5009,V5010,V5011
5,1,AL0011200,2W1I0U7 U6TI,20160429,1,18,M,B,1, 
5,1,AL0011200,2W1I0U7 U7TN,20160402,1,22,F,B,1, 
5,1,AL0011200,2W1I0U7 UC D,20160430,0, , , ,1, 
5,1,AL0011200,2W1I0U7 UC2O,20160430,0, , , ,1, 
5,1,AL0011200,2W1I0U7 UG2,20160428,1,15,M,W,1, 
5,1,AL0011200,2W1I0U7 UGBX,20160428,0, , , ,1, 
5,1,AL0011200,2W1I0U7 UGJ8,20160428,1,26,M,B,1, 
5,1,AL0011200,2W1I0U7 UGXO,20160428,1,45,F,B,1, 
5,1,AL0011200,2W1I0U7 UL6D,20160430,0, , , ,1, 
5,1,AL0011200,2W1I0U7 UN0O,20160428,1,48,M,B,2, 
5,1,AL0011200,2W1I0U7 UN0O,20160428,2,21,M,B, , 
5,1,AL0011200,2W1I0U7 UN6N,20160428,1,60,M,B,2, 
5,1,AL0011200,2W1I0U7 UN6N,20160428,4,55,M,B, , 
5,1,AL0011200,2W1I0U7 UNJ4,20160428,0, , , ,1, 
5,1,AL0011200,2W1I0U7 UNJR,20160428,1,30,F,B,1, 
5,1,AL0011200,2W1I0U7 UNKX,20160425,0, , , ,1, 
5,1,AL0011200,2W1I0U7 UNTW,20160428,1,20,M,B,1, 
5,1,AL0011200,2W1I0U7 UNX,20160428,0, , , ,1, 
5,1,AL0011200,2W1I0U7 UX N,20160430,1,26,M,W,1, 
5,1,AL0011200,2W1I0U7 UX6O,20160430,1,18,M,B,1, 
5,1,AL0011200,2W1I0U7 UY2D,20160429,0, , , ,1, 
5,1,AL0011200,2W1I0U7 UY2O,20160428,1,15,F,W,1, 
5,1,AL0011200,2W1I0U7 UY6,20160429,0, , , ,1, 
5,1,AL0011200,2W1I0U7 UYBW,20160429,0, , , ,1, 
5,1,AL0011200,2W1I0U7 Z7 R,20160420,0, , , ,1, 
5,1,AL0011200,2W1I0U7 Z70D,20160510,0, , , ,1, 
5,1,AL0011200,2W1I0U7 ZCTX,20160511,1,16,M,W,1, 
5,1,AL0011200,2W1I0U7 ZL D,20160509,1,22,F,W,1, 
